Carpeta;tessellate;extrude;visibility;ID;Organización;Localización;Provincia;Campo de Acción;Pertenece a una Red;Nombre de la Red;Facebook;Instagram;Pág. web;Twitter;MUNI;layer;path;direcci;field_7;latitu;longitu;Estilo;Latitud;Longitud;Código de provincia;Nombre de provincia;Código de departamentos/comuna;Nombre de departamentos/comuna;Código de radio;Código de provincia;Nombre de provincia;Código de departamentos/comuna;Nombre de departamentos/comuna;Código de radio
1_2745conconabip;-1;0;-1;1630.00000000;Corriente Clasista Combativa;Barrio La Juanita, La Matanza;Provincia de Buenos Aires;Asistencia social;Si;Federeación René Salamanca;;;;;;;;;;;;;-34,7862476;-58,6229664;06;Buenos Aires;06427;La Matanza;064278905;06;Buenos Aires;06427;La Matanza;064278905
1_2745conconabip;-1;0;-1;1631.00000000;"Los Pequeños Pasos de La Matanza (esta tramitando el nombre como ""Asociacion Civil Los Chicos siempre seran felices"")";Barrio Escurra, Km 35, Virrey del Pino;Provincia de Buenos Aires;Asistencia social;Si;No, nosotros nos vinculamos con los chicos del Pueblo, una organizacion de virrey del Pino, pero estamos aislados, hacemos participaciones en algunas cosas esporadicas pero no en red.;https://www.facebook.com/Pequeños-pasos-de-la-matanza-asociación-civil-comedor-101168914733096/;Los pequeños pasos de La Matanza;;;;;;;;;;;-34,8067944;-58,6431608;06;Buenos Aires;06427;La Matanza;064279205;06;Buenos Aires;06427;La Matanza;064279205
1_2745conconabip;-1;0;-1;1632.00000000;Asociacion Civil Doncel;CABA;Provincia de Buenos Aires;Niñez y juventud;Si;red latinamericana de jovenees egresados en sistemas de proteccion (red de egresados lacan) - colectivo de niños niñas y adolescentes - red del conosur de america latina - red iberoamericana - con organizaciones de todas las provincias;Doncel;Doncel;https://doncel.org.ar/;Doncel;;;;;;;;;-34,6048606;-58,4028203;02;Ciudad Autónoma de Buenos Aires;02003;Comuna 3;020030803;02;Ciudad Autónoma de Buenos Aires;02003;Comuna 3;020030803
1_2745conconabip;-1;0;-1;1633.00000000;Merendero Unidos para La Matanza (parte de una cooperativa municipal);Barrio Roberto Arlt, Virrey del Pino;Provincia de Buenos Aires;Habitat;Si;Asociacion Civil Unidos para la Matanza - Colectivo Tierra y Hábitat (participacion como referente comunitaria);;;;;;;;;;;;;-34,8974941;-58,6941822;06;Buenos Aires;06427;La Matanza;064279718;06;Buenos Aires;06427;La Matanza;064279718
1_2745conconabip;-1;0;-1;1634.00000000;Aparecida EnredAndo;Cic en Villa Madero - Ciudad Evita (hospital Balestrini y centro de salud carrillo);Provincia de Buenos Aires;Genero y diversidad sexual;Si;Red Construyendo CIudadania;Aparecida EnRedando;Aparecida Enredando;;;;;;;;;;;-34,7862476;-58,6229664;06;Buenos Aires;06427;La Matanza;064278905;06;Buenos Aires;06427;La Matanza;064278905
1_2745conconabip;-1;0;-1;1635.00000000;Movimiento Mayo;Centro de la Ciudad Evita;Provincia de Buenos Aires;Trabajo y produccion / economia social;Si;Frente Barrial de la CTA - Confedereacion Nacional de Cooperativas de Trabajo - Red Textil;Movimiento Mayo;;;;;;;;;;;;-34,73509;-58,5264205;06;Buenos Aires;06427;La Matanza;064275110;06;Buenos Aires;06427;La Matanza;064275110
1_2745conconabip;-1;0;-1;1636.00000000;La casa del pueblo;Barrio Juan Domingo Peron (palangana), Gregorio de La Ferrere;Provincia de Buenos Aires;Niñez y juventud;Si;Movimiento nacional chicos del pueblo - Mesas territoriales del Municipio;La casa del pueblo Barrio La Ferrere;La casa del pueblo;;;;;;;;;;;-34,7862476;-58,6229664;06;Buenos Aires;06427;La Matanza;064278905;06;Buenos Aires;06427;La Matanza;064278905
1_2745conconabip;-1;0;-1;1637.00000000;Asociacion Civil Camino a la Educación Centro de Atención Integral para la Inclusión;EPI CASEROS- EPI MI CASITA;Provincia de Buenos Aires;Educación y formación;No;NO;caii org;caii org;;;;;;;;;;;-34,6138478;-58,5429553;06;Buenos Aires;06840;Tres de Febrero;068401711;06;Buenos Aires;06840;Tres de Febrero;068401711
1_2745conconabip;-1;0;-1;1638.00000000;Los chicos de la Cooperativa;Padre Bernasi - Matanza;Provincia de Buenos Aires;Educación y formación;Si;SI, fEDERACIÓN DE JARDINES MATERNALES COMUNITARIOS DE LA MATANZA-fundadores del consejo del niño y joven de matanza;los chicos de la cooperativa;;;;;;;;;;;;-34,744364;-58,6441616;06;Buenos Aires;06427;La Matanza;064278413;06;Buenos Aires;06427;La Matanza;064278413
1_2745conconabip;-1;0;-1;1639.00000000;Centro comunitario Santa Rita (Cáritas) - Jardín comunitario N° 1;La Rotonda;Provincia de Buenos Aires;Niñez y juventud;Si;Red Sur de Florencio Varela - Mesas distritales de Florencio Varela;;;;;;;;;;;;;-34,7965806;-58,276012;06;Buenos Aires;06274;Florencio Varela;062740215;06;Buenos Aires;06274;Florencio Varela;062740215
